name,auc,ks,gini,n,bad_rate
XGBoost-Dual,0.8356648165196596,0.524085633161075,0.6713296330393193,169722,0.021605920269617374
LightGBM-Dual,0.8430012350398227,0.5302599717401368,0.6860024700796454,169722,0.021605920269617374
DecisionTree-Dual,0.7770905232566212,0.42681841814052607,0.5541810465132424,169722,0.021605920269617374
XGBoost-Dual-White,0.8025715715991912,0.49812374604350856,0.6051431431983825,4849,0.02206640544442153
LightGBM-Dual-White,0.8010697800919994,0.4656578516892198,0.6021395601839987,4849,0.02206640544442153
DecisionTree-Dual-White,0.7299573901149797,0.309914977315459,0.45991478022995946,4849,0.02206640544442153
XGBoost-Dual-NonWhite,0.8471002601753296,0.539093420656067,0.6942005203506592,164873,0.021592377163028514
LightGBM-Dual-NonWhite,0.8461659183134582,0.5360461015248672,0.6923318366269164,164873,0.021592377163028514
DecisionTree-Dual-NonWhite,0.7787428090981194,0.43047449034283763,0.5574856181962389,164873,0.021592377163028514
